UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2016,10,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Physical,Horizon,SOUNDDISC,2016,10,1,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Physical,Horizon,BOOK,2016,10,2,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Digital,OverDrive,AUDIOBOOK,2016,11,2,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2017,1,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Physical,Horizon,BOOK,2009,7,5,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,SOUNDDISC,2009,7,2,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,AUDIOBOOK,2009,7,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Digital,OverDrive,EBOOK,2009,8,1,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,SOUNDDISC,2009,8,8,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,AUDIOBOOK,2009,8,3,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Physical,Horizon,BOOK,2009,8,19,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,BOOK,2009,9,7,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,SOUNDDISC,2009,9,3,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,AUDIOBOOK,2009,9,2,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Digital,OverDrive,EBOOK,2009,9,1,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Digital,OverDrive,EBOOK,2009,10,1,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Digital,OverDrive,AUDIOBOOK,2009,10,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Physical,Horizon,BOOK,2009,10,28,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,SOUNDDISC,2009,10,4,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Physical,Horizon,BOOK,2009,11,16,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,SOUNDDISC,2009,11,5,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Digital,OverDrive,AUDIOBOOK,2009,11,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2009,12,1,The Accidental Billionaires (Unabridged),,Ben Mezrich,"History, Nonfiction",Books on Tape,2009
Digital,OverDrive,EBOOK,2009,12,1,"The Accidental Billionaires: The Founding of Facebook: A Tale of Sex, Money, Genius and Betrayal",,Ben Mezrich,"Biography & Autobiography, Business, Nonfiction","Random House, Inc.",2009
Physical,Horizon,BOOK,2009,12,20,"The accidental billionaires : the founding of Facebook , a tale of sex, money, genius, and betrayal / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Doubleday,",2009.
Physical,Horizon,SOUNDDISC,2009,12,3,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
Physical,Horizon,SOUNDDISC,2010,1,5,"The accidental billionaires [sound recording] : [the founding of Facebook, a tale of sex, money, genius and betrayal] / Ben Mezrich.",,"Mezrich, Ben, 1969-","Zuckerberg Mark 1984, Saverin Eduardo, Facebook Firm, Facebook Electronic resource, Webmasters United States Biography, College students United States Biography, Businesspeople United States Biography, Online social networks","Random House Audio,",p2009.
