UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,VIDEODISC,2016,10,5,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2016,11,5,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2016,12,4,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2017,1,4,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2011,1,214,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2011,2,228,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2011,3,215,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2011,4,237,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2011,5,225,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
Physical,Horizon,VIDEODISC,2011,6,211,"The social network [videorecording] / Columbia ; in association with Relativity Media ; a Scott Rudin/Michael De Luca/Trigger Street production ; screenplay by Aaron Sorkin ; produced by Scott Rudin, Dana Brunetti, Michael de Luca, Ceán Chaffin ; directed by David Fincher.",,,"Zuckerberg Mark 1984 Drama, Facebook Firm Drama, College students Drama, Social networks Drama, Feature films, Autobiographical fiction, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,",[2011]
